user_id,timestamp
u00006153,2016-05-01 00:03:11
u00001264,2016-05-01 00:04:04
u00006548,2016-05-01 00:06:14
u00007458,2016-05-01 00:06:21
u00005626,2016-05-01 00:06:28
u00000822,2016-05-01 00:07:52
u00005845,2016-05-01 00:10:00
u00005103,2016-05-01 00:12:43
u00000669,2016-05-01 00:13:05
u00008037,2016-05-01 00:13:37
u00000864,2016-05-01 00:13:39
u00004519,2016-05-01 00:14:15
u00005747,2016-05-01 00:14:18
u00007307,2016-05-01 00:15:59
u00001956,2016-05-01 00:16:20
u00006598,2016-05-01 00:16:21
u00001498,2016-05-01 00:17:20
u00004954,2016-05-01 00:17:38
u00004645,2016-05-01 00:19:18
u00001068,2016-05-01 00:19:31
u00005666,2016-05-01 00:21:06
u00002421,2016-05-01 00:21:55
u00007854,2016-05-01 00:22:33
u00001039,2016-05-01 00:23:40
u00005424,2016-05-01 00:24:31
u00001528,2016-05-01 00:25:12
u00001180,2016-05-01 00:25:33
u00007591,2016-05-01 00:27:58
u00002796,2016-05-01 00:28:18
u00003924,2016-05-01 00:28:54
u00007271,2016-05-01 00:29:05
u00003264,2016-05-01 00:29:34
u00005459,2016-05-01 00:29:54
u00005903,2016-05-01 00:30:08
u00000699,2016-05-01 00:31:03
u00002998,2016-05-01 00:32:00
u00006056,2016-05-01 00:32:15
u00004208,2016-05-01 00:34:30
u00002609,2016-05-01 00:34:31
u00000557,2016-05-01 00:39:23
u00000319,2016-05-01 00:40:19
u00002078,2016-05-01 00:40:42
u00007917,2016-05-01 00:41:42
u00003926,2016-05-01 00:43:06
u00007586,2016-05-01 00:44:51
u00003473,2016-05-01 00:45:09
u00000687,2016-05-01 00:45:11
u00002325,2016-05-01 00:47:56
u00003749,2016-05-01 00:48:21
u00005689,2016-05-01 00:49:44
u00007459,2016-05-01 00:50:11
u00000083,2016-05-01 00:50:12
u00002303,2016-05-01 00:51:05
u00007344,2016-05-01 00:51:19
u00003235,2016-05-01 00:51:58
u00006948,2016-05-01 00:52:11
u00006783,2016-05-01 00:52:55
u00007282,2016-05-01 00:54:02
u00004608,2016-05-01 00:54:18
u00004254,2016-05-01 00:55:45
u00008012,2016-05-01 00:59:42
u00001186,2016-05-01 00:59:44
u00002883,2016-05-01 01:04:13
u00006429,2016-05-01 01:05:10
u00001578,2016-05-01 01:05:59
u00005527,2016-05-01 01:09:05
u00002769,2016-05-01 01:09:35
u00005196,2016-05-01 01:09:40
u00001011,2016-05-01 01:09:52
u00002538,2016-05-01 01:10:28
u00001156,2016-05-01 01:10:52
u00007065,2016-05-01 01:10:55
u00002298,2016-05-01 01:12:50
u00004097,2016-05-01 01:15:31
u00004686,2016-05-01 01:15:57
u00004913,2016-05-01 01:16:09
u00007275,2016-05-01 01:16:13
u00004000,2016-05-01 01:17:09
u00003274,2016-05-01 01:17:25
u00006056,2016-05-01 01:19:47
u00005933,2016-05-01 01:21:01
u00003640,2016-05-01 01:22:11
u00007886,2016-05-01 01:22:20
u00003568,2016-05-01 01:25:06
u00002737,2016-05-01 01:25:25
u00006570,2016-05-01 01:26:11
u00000546,2016-05-01 01:26:22
u00000173,2016-05-01 01:26:49
u00006167,2016-05-01 01:27:40
