user_id,item_id,timestamp
u00005832,item10007,2016-05-01 00:20:48
u00000981,item10008,2016-05-01 00:23:55
u00000660,item10007,2016-05-01 00:31:48
u00005103,item10008,2016-05-01 00:54:49
u00004028,item10004,2016-05-01 00:59:54
u00000408,item10001,2016-05-01 01:31:35
u00001367,item10003,2016-05-01 01:50:10
u00002375,item10005,2016-05-01 01:55:27
u00004192,item10007,2016-05-01 02:12:09
u00003569,item10009,2016-05-01 02:13:05
u00001791,item10000,2016-05-01 02:21:35
u00002286,item10001,2016-05-01 02:32:22
u00005330,item10007,2016-05-01 02:44:04
u00005013,item10000,2016-05-01 02:50:34
u00004340,item10003,2016-05-01 02:50:57
u00002075,item10004,2016-05-01 03:14:47
u00001787,item10003,2016-05-01 03:27:01
u00000163,item10004,2016-05-01 03:46:32
u00006220,item10001,2016-05-01 04:00:14
u00002498,item10009,2016-05-01 04:08:36
u00004287,item10004,2016-05-01 04:12:49
u00007109,item10003,2016-05-01 04:26:11
u00002049,item10009,2016-05-01 05:01:57
u00003411,item10007,2016-05-01 05:10:00
u00002314,item10006,2016-05-01 05:41:55
u00003180,item10003,2016-05-01 06:03:40
u00002859,item10006,2016-05-01 06:17:37
u00004862,item10005,2016-05-01 06:54:54
u00002643,item10002,2016-05-01 07:02:18
u00005365,item10004,2016-05-01 07:07:56
u00003750,item10007,2016-05-01 07:45:55
u00002091,item10000,2016-05-01 07:54:39
u00004875,item10001,2016-05-01 08:06:33
u00004709,item10006,2016-05-01 08:23:54
u00000565,item10003,2016-05-01 08:39:29
u00003044,item10003,2016-05-01 08:40:58
u00004519,item10008,2016-05-01 09:08:02
u00006327,item10009,2016-05-01 09:19:01
u00000329,item10006,2016-05-01 09:25:58
u00003351,item10001,2016-05-01 10:02:51
u00006649,item10007,2016-05-01 10:13:08
u00002445,item10004,2016-05-01 10:31:01
u00002420,item10009,2016-05-01 10:36:29
u00004042,item10007,2016-05-01 10:37:20
u00006269,item10002,2016-05-01 11:07:06
u00003904,item10003,2016-05-01 11:08:33
u00002846,item10000,2016-05-01 11:34:58
u00007093,item10000,2016-05-01 12:12:10
u00003166,item10000,2016-05-01 12:38:08
u00000104,item10006,2016-05-01 12:42:07
u00005423,item10009,2016-05-01 13:10:00
u00002010,item10008,2016-05-01 13:28:25
u00006703,item10003,2016-05-01 14:39:37
u00000022,item10002,2016-05-01 14:57:45
u00001981,item10007,2016-05-01 15:00:53
u00004400,item10004,2016-05-01 15:06:22
u00003471,item10007,2016-05-01 15:15:57
u00005383,item10000,2016-05-01 15:33:07
u00002911,item10004,2016-05-01 15:35:26
u00006351,item10002,2016-05-01 15:41:31
u00000245,item10007,2016-05-01 16:05:03
u00000681,item10002,2016-05-01 16:12:49
u00006163,item10009,2016-05-01 16:42:18
u00003058,item10007,2016-05-01 17:04:05
u00007091,item10009,2016-05-01 17:47:16
u00002900,item10002,2016-05-01 17:47:27
u00002625,item10009,2016-05-01 17:49:50
u00004225,item10001,2016-05-01 17:54:13
u00000998,item10006,2016-05-01 18:06:53
u00006150,item10009,2016-05-01 18:32:25
u00007112,item10006,2016-05-01 18:47:29
u00002860,item10005,2016-05-01 19:46:18
u00006735,item10003,2016-05-01 19:56:42
u00003008,item10003,2016-05-01 20:03:17
u00005915,item10000,2016-05-01 20:30:15
u00007267,item10006,2016-05-01 20:36:00
u00003720,item10009,2016-05-01 21:15:41
u00007565,item10006,2016-05-01 21:20:17
u00000650,item10005,2016-05-01 22:20:08
u00007972,item10001,2016-05-01 22:26:24
u00006599,item10008,2016-05-01 23:10:03
u00004005,item10005,2016-05-01 23:22:59
u00006342,item10000,2016-05-01 23:31:06
u00001049,item10000,2016-05-02 00:28:29
u00003783,item10001,2016-05-02 00:35:08
u00005387,item10003,2016-05-02 00:38:34
u00003162,item10008,2016-05-02 00:43:01
u00005271,item10005,2016-05-02 00:48:59
